"Code","Name","Continent","Region","SurfaceArea","IndepYear","Population","LifeExpectancy","GNP","GNPOld","LocalName","GovernmentForm","HeadOfState","Capital","Code2","ID","Name","CountryCode","District","Population"
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",119,"Escobar","ARG","Buenos Aires",116675
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",120,"Concordia","ARG","Entre Rios",116485
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",121,"Pilar","ARG","Buenos Aires",113428
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",122,"San Luis","ARG","San Luis",110136
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",123,"Ezeiza","ARG","Buenos Aires",99578
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",124,"San Rafael","ARG","Mendoza",94651
"ARG","Argentina","South America","South America",2780400.00,1816,37032000,75.1,340238.00,323310.00,"Argentina","Federal Republic","Fernando de la Rúa",69,"AR",125,"Tandil","ARG","Buenos Aires",91101
"ARM","Armenia","Asia","Middle East",29800.00,1991,3520000,66.4,1813.00,1627.00,"Hajastan","Republic","Robert Kotšarjan",126,"AM",126,"Yerevan","ARM","Yerevan",1248700
"ARM","Armenia","Asia","Middle East",29800.00,1991,3520000,66.4,1813.00,1627.00,"Hajastan","Republic","Robert Kotšarjan",126,"AM",127,"Gjumri","ARM","Širak",211700
"ARM","Armenia","Asia","Middle East",29800.00,1991,3520000,66.4,1813.00,1627.00,"Hajastan","Republic","Robert Kotšarjan",126,"AM",128,"Vanadzor","ARM","Lori",172700
"ABW","Aruba","North America","Caribbean",193.00,NULL,103000,78.4,828.00,793.00,"Aruba","Nonmetropolitan Territory of The Netherlands","Beatrix",129,"AW",129,"Oranjestad","ABW","–",29034
"AUS","Australia","Oceania","Australia and New Zealand",7741220.00,1901,18886000,79.8,351182.00,392911.00,"Australia","Constitutional Monarchy, Federation","Elisabeth II",135,"AU",130,"Sydney","AUS","New South Wales",3276207
"AUS","Australia","Oceania","Australia and New Zealand",7741220.00,1901,18886000,79.8,351182.00,392911.00,"Australia","Constitutional Monarchy, Federation","Elisabeth II",135,"AU",131,"Melbourne","AUS","Victoria",2865329
"AUS","Australia","Oceania","Australia and New Zealand",7741220.00,1901,18886000,79.8,351182.00,392911.00,"Australia","Constitutional Monarchy, Federation","Elisabeth II",135,"AU",132,"Brisbane","AUS","Queensland",1291117
"AUS","Australia","Oceania","Australia and New Zealand",7741220.00,1901,18886000,79.8,351182.00,392911.00,"Australia","Constitutional Monarchy, Federation","Elisabeth II",135,"AU",133,"Perth","AUS","West Australia",1096829
